ts,event,symbol,target_w,target_shares,have_shares,delta,side,qty,limit,order_id,note,w_long,w_short,votes
2026-07-22T15:49:40,skip_dust,SQQQ,-0.0,0,0,0,,,,,,0.38,-0.0,{}
2026-07-22T15:49:40,rebalance,TQQQ,0.38,536,0,536,buy,536,70.78,DRY,,0.38,-0.0,{}
