ts,event,symbol,target_w,target_shares,have_shares,delta,side,qty,limit,order_id,note,w_long,w_short,votes
2026-07-23T15:49:53,skip_dust,SQQQ,-0.0,0,0,0,,,,,,0.37,-0.0,{}
2026-07-23T15:49:53,rebalance,TQQQ,0.37,560,0,560,buy,560,65.95,DRY,,0.37,-0.0,{}
