ts,event,symbol,target_w,target_shares,have_shares,delta,side,qty,limit,order_id,note,w_long,w_short,votes
2026-07-21T15:46:58,skip_dust,SQQQ,-0.0,0,0,0,,,,,,0.34,-0.0,{}
2026-07-21T15:46:58,rebalance,TQQQ,0.34,476,0,476,buy,476,71.31,DRY,,0.34,-0.0,{}
