ts,event,symbol,target_w,target_shares,have_shares,delta,side,qty,limit,order_id,note,w_long,w_short,votes
2026-07-20T15:46:12,skip_dust,SQQQ,-0.0,0,0,0,,,,,,0.36,-0.0,{}
2026-07-20T15:46:12,rebalance,TQQQ,0.36,528,0,528,buy,528,68.06,DRY,,0.36,-0.0,{}
