ts,event,symbol,target_w,target_shares,have_shares,delta,side,qty,limit,order_id,note,w_long,w_short,votes
2026-07-17T15:45:59,skip_dust,SQQQ,-0.0,0,0,0,,,,,,0.33,-0.0,{}
2026-07-17T15:45:59,rebalance,TQQQ,0.33,487,0,487,buy,487,67.75,DRY,,0.33,-0.0,{}
