ts,event,symbol,target_w,target_shares,have_shares,delta,side,qty,limit,order_id,note,w_long,w_short,votes
2026-07-13T16:21:28,skip_dust,SQQQ,-0.0,0,0,0,,,,,,0.31,-0.0,{}
2026-07-13T16:21:28,rebalance,TQQQ,0.31,426,0,426,buy,426,72.66,DRY,,0.31,-0.0,{}
