date,equity,qqq_bh,tqqq_3x_bh,w_net
1986-01-02,1.0,1.0,0.9999027777777778,-0.0
1986-01-03,1.0,0.9946287622960805,0.9836934185069547,-0.0
1986-01-06,1.0,0.9931430488606741,0.9791896449119977,-0.0
1986-01-07,1.0,1.011694703791987,1.0339674727970811,-0.0
1986-01-08,1.0,0.9992762087755209,0.9957912722094889,-0.0
1986-01-09,1.0,0.9812959373758998,0.9419417614431275,-0.0
1986-01-10,1.0,0.9871242819051728,0.9586339925183434,-0.0
1986-01-13,1.0,0.9835434567692265,0.9481083649114213,-0.0
1986-01-14,1.0,0.9841909860208082,0.9498887879357056,-0.0
1986-01-15,1.0,1.0021332426869882,1.001747172848475,-0.0
1986-01-16,1.0,1.0137518007590856,1.0364920268993536,-0.0
1986-01-17,1.0,1.0115424123522074,1.0296144102806986,-0.0
1986-01-20,1.0,1.0026664952322315,1.0024108318739253,-0.0
1986-01-21,1.0,0.9987428399772701,0.990545410901802,-0.0
1986-01-22,1.0,0.9875052430106366,0.9570130230519968,-0.0
1986-01-23,1.0,0.9848767625118461,0.9492780255493842,-0.0
1986-01-24,1.0,0.9919621508108413,0.9696735875395666,-0.0
1986-01-27,1.0,0.9964953205839433,0.9828732533912037,-0.0
1986-01-28,1.0,1.005599791116596,1.009717734184192,-0.0
1986-01-29,1.0,1.0137518007590856,1.034175743838149,-0.0
1986-01-30,1.0,1.007123519285444,1.0137897368376558,-0.6
1986-01-31,0.989813337184872,1.0127233104020403,1.0306017434657964,-0.6
1986-02-03,0.972129925964505,1.0227419945854002,1.0610882027073762,-0.6
1986-02-04,0.9673805691433769,1.025484751790529,1.0695218199221281,-0.6
1986-02-05,0.9528998019868854,1.0339795915520336,1.0959967315892643,-0.6
1986-02-06,0.9411536628176085,1.0410269651175876,1.1183003819026525,-0.6
1986-02-07,0.9314282580850106,1.046969586353199,1.1373428497796085,-0.6
1986-02-10,0.922772661888627,1.0523408240571182,1.154736905888945,-0.6
1986-02-11,0.9210954877259273,1.0533693144141638,1.1580103369404724,-0.6
1986-02-12,0.9161851347535319,1.0564549017383078,1.1680740752878405,-0.6
1986-02-13,0.910185224957368,1.0602642802869309,1.1805960816919192,-0.6
1986-02-14,0.8984182744914841,1.0678450226507357,1.2058045956169716,-0.6
1986-02-18,0.8917316062376559,1.0722257847310506,1.220527560345371,-0.6
1986-02-19,0.9041683436509944,1.0638832364093254,1.1919196274135857,-0.6
1986-02-20,0.9005607355851881,1.0662070177755494,1.1996140788792367,-0.6
1986-02-21,0.8866084126713818,1.0753495030416431,1.230356712122549,-0.6
1986-02-24,0.8972416812927587,1.068149721783302,1.205524293744082,-0.6
1986-02-25,0.9064049839770033,1.0620546928549037,1.1847703609999443,-0.6
1986-02-26,0.9124966066893707,1.0580548918800525,1.1712692947452603,-0.6
1986-02-27,0.8929286709924361,1.0706257945893056,1.2129034793967457,-0.6
1986-02-28,0.8940202408625251,1.0698639886313854,1.2101964264248686,-0.6
1986-03-03,0.9018179953554959,1.064645158620253,1.192368640338466,-0.6
1986-03-04,0.8924142920200869,1.0707782022820924,1.2128591558107504,-0.6
1986-03-05,0.8957910909439774,1.0684925519023172,1.2049744428438705,-0.6
1986-03-06,0.8893578023811615,1.0727210225428525,1.2191630517582794,-0.6
1986-03-07,0.8903291483066841,1.0720353623048222,1.216706733503535,-0.6
1986-03-10,0.8706307253285057,1.0851776485457671,1.2613359631993775,-0.6
1986-03-11,0.8385627408217384,1.1073482595994752,1.3385221198126342,-0.6
1986-03-12,0.825272968345525,1.117062128397261,1.3736172948525496,-0.6
1986-03-13,0.8212735197126452,1.1200334390150668,1.384444939378213,0.0
1986-03-14,0.8211749668902797,1.119957293295177,1.384027975182832,0.0
1986-03-17,0.8211749668902797,1.1151194243895084,1.3659576993248475,0.0
1986-03-18,0.8211749668902797,1.124719016480956,1.4011017564161872,0.0
1986-03-19,0.8211749668902797,1.123576249417572,1.3966947836737105,0.0
1986-03-20,0.8211749668902797,1.1260523222235754,1.405792861138879,0.0
1986-03-21,0.8211749668902797,1.1276141813788718,1.411505783003434,0.0
1986-03-24,0.8211749668902797,1.1206429535332074,1.3851895766849742,0.0
1986-03-25,0.8211749668902797,1.1236523951374617,1.3962145182556835,0.0
1986-03-26,0.8211749668902797,1.1219001135559372,1.3895467880751455,0.0
1986-03-27,0.8211749668902797,1.1304330843038906,1.42111762308744,0.0
1986-03-31,0.8211749668902797,1.1341281861461752,1.4349152886549528,0.0
1986-04-01,0.8211749668902797,1.1310044678355824,1.4229192630350804,0.0
1986-04-02,0.8211749668902797,1.1345852929715285,1.4362960561177271,0.0
1986-04-03,0.8211749668902797,1.132985419082791,1.430080471371336,0.0
1986-04-04,0.8211749668902797,1.1202239776943024,1.3816180739450448,0.0
1986-04-07,0.8211749668902797,1.1127575120368358,1.3538576570424714,0.0
1986-04-08,0.8211749668902797,1.1346614386914182,1.4336755227840243,0.0
1986-04-09,0.8211749668902797,1.135613783328574,1.437146077551513,0.0
1986-04-10,0.8211749668902797,1.1562606662134343,1.515393709556759,0.0
1986-04-11,0.8211749668902797,1.1631175010997525,1.5422060559846025,0.0
1986-04-14,0.8211749668902797,1.1727172094442075,1.5802415863519017,0.0
1986-04-15,0.8211749668902797,1.180297835555005,1.6107327326118923,0.0
1986-04-16,0.8211749668902797,1.210582441517761,1.7345628206399886,0.0
1986-04-17,0.8211749668902797,1.2118013543010349,1.7396336790228186,0.0
1986-04-18,0.8211749668902797,1.2011732718525419,1.693692268285064,0.0
1986-04-21,0.8211749668902797,1.2077634223397349,1.7214045650314693,0.0
1986-04-22,0.8211749668902797,1.2026970000213895,1.6995739508206913,0.0
1986-04-23,0.8211749668902797,1.199649543683694,1.6864893073126388,0.0
1986-04-24,0.8211749668902797,1.217896383229433,1.7632805670767102,0.0
1986-04-25,0.8211749668902797,1.2225058149754322,1.783129858492402,0.0
1986-04-28,0.8211749668902797,1.218239213348448,1.7642868825282847,0.0
1986-04-29,0.8211749668902797,1.205668310639195,1.709498793681266,0.0
1986-04-30,0.8211749668902797,1.1802216898351148,1.601091460456599,0.0
1986-05-01,0.8211749668902797,1.1748504521311955,1.5790758984971778,0.0
1986-05-02,0.8211749668902797,1.180983495793035,1.603652013447922,0.0
1986-05-05,0.8211749668902797,1.1972114856111316,1.6696038392400527,0.0
1986-05-06,0.8211749668902797,1.197097208904793,1.668963413577741,0.0
1986-05-07,0.8211749668902797,1.1904689274311515,1.6410781934257754,0.0
1986-05-08,0.8211749668902797,1.1973638933039186,1.6694330670305584,0.0
1986-05-09,0.8211749668902797,1.2031159758602943,1.6933304062575791,0.0
1986-05-12,0.8211749668902797,1.201858932090572,1.6878580830243823,0.0
1986-05-13,0.8211749668902797,1.196525825373101,1.6652249744806507,0.0
1986-05-14,0.8211749668902797,1.196182995254086,1.6636317104013012,0.0
1986-05-15,0.8211749668902797,1.186735694602418,1.6240525155710726,0.0
1986-05-16,0.8211749668902797,1.1808692190866963,1.599809736385528,0.0
1986-05-19,0.8211749668902797,1.18326914617281,1.6094082685937232,0.0
1986-05-20,0.8211749668902797,1.1962210099875268,1.662100729929194,0.0
1986-05-21,0.8211749668902797,1.1994971359909063,1.6755952706845236,0.0
1986-05-22,0.8211749668902797,1.2161822326343563,1.745355339611331,0.0
1986-05-23,0.8211749668902797,1.2202581793290974,1.7627339484302957,0.0
1986-05-27,0.8211749668902797,1.2279531983992407,1.7959102800082127,0.0
1986-05-28,0.8211749668902797,1.2289435577698375,1.800080948865255,0.0
1986-05-29,0.8211749668902797,1.2313434848559512,1.8104517378279597,0.0
1986-05-30,0.8211749668902797,1.2430764358873945,1.862028807270075,0.0
1986-06-02,0.8211749668902797,1.234467203166544,1.8231599562038538,0.0
1986-06-03,0.8211749668902797,1.2350767176846846,1.8256832439952637,0.0
1986-06-04,0.8211749668902797,1.2329053440112476,1.8158766110851725,0.0
1986-06-05,0.8211749668902797,1.2369814069589962,1.8337102758716337,0.0
1986-06-06,0.8211749668902797,1.2333624508366012,1.8174376974888025,0.0
1986-06-09,0.8211749668902797,1.2084110678443232,1.7069586720742773,0.0
1986-06-10,0.8211749668902797,1.2045635583092515,1.6904881506918008,0.0
1986-06-11,0.8211749668902797,1.2192678199585003,1.7522318138492912,0.0
1986-06-12,0.8211749668902797,1.2217820237509525,1.7629010810691481,0.0
1986-06-13,0.8211749668902797,1.2369432759725474,1.8283578950982353,0.0
1986-06-16,0.8211749668902797,1.2250961644877734,1.7756455710441892,0.0
1986-06-17,0.8211749668902797,1.2081443834451977,1.7017635702114011,0.0
1986-06-18,0.8211749668902797,1.2074205922207186,1.698539575436146,0.0
1986-06-19,0.8211749668902797,1.213515621149117,1.7240969954337133,0.0
1986-06-20,0.8211749668902797,1.2158394025153407,1.7338338814395695,0.0
1986-06-23,0.8211749668902797,1.2156107328496566,1.7326870389683189,0.0
1986-06-24,0.8211749668902797,1.225096164487773,1.7730791443606029,0.0
1986-06-25,0.8211749668902797,1.2342386497538667,1.8126024617004155,0.0
1986-06-26,0.8211749668902797,1.2321054070668784,1.8030275980050348,0.0
1986-06-27,0.8211749668902797,1.2313054701225097,1.7993404895382998,0.0
1986-06-30,0.8211749668902797,1.2389242272197558,1.8325660504252497,0.0
1986-07-01,0.8211749668902797,1.2443334796571164,1.8563913192545531,0.0
1986-07-02,0.8211749668902797,1.2491714648157926,1.877863859362605,0.0
1986-07-03,0.8211749668902797,1.2533998192033204,1.8967505862653673,0.0
1986-07-07,0.8211749668902797,1.2009065874534153,1.6582545895836014,-0.53
1986-07-08,0.8572026199897894,1.1676506708728533,1.5203305080382035,-0.5
1986-07-09,0.8391178956764987,1.184031068383737,1.5841666070761866,-0.48
1986-07-10,0.8477835834960828,1.1754979813827764,1.5497622274127714,-0.49
1986-07-11,0.8593323625741605,1.1645650835487096,1.506370157883464,-0.49
1986-07-14,0.8887944206403453,1.137366181163105,1.400677998613989,-0.48
