Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
47,Entry long,2026-07-17 05:39,L,2970.1,12,178206,-342,-0.19,60,336,0.19,-360,-0.20,-10844.5,-1.08,188
48,Exit short,2026-07-17 10:25,flip,2991.2,11,163097,-1474,-0.90,55,858,0.53,-1644.5,-1.01,-12318.5,-1.23,98
48,Entry short,2026-07-17 08:47,S,2965.4,11,163097,-1474,-0.90,55,858,0.53,-1644.5,-1.01,-12318.5,-1.23,98
49,Exit long,2026-07-17 14:32,flip,2969.9,3,44868,-334.5,-0.75,15,0,0.00,-373.5,-0.83,-12653,-1.27,247
49,Entry long,2026-07-17 10:25,L,2991.2,3,44868,-334.5,-0.75,15,0,0.00,-373.5,-0.83,-12653,-1.27,247
50,Exit short,2026-07-17 16:45,session 4:45,2972.3,6,89097,-102,-0.11,30,219,0.25,-210,-0.24,-12755,-1.28,133
50,Entry short,2026-07-17 14:32,S,2969.9,6,89097,-102,-0.11,30,219,0.25,-210,-0.24,-12755,-1.28,133
51,Exit short,2026-07-19 20:42,flip,2975.6,7,103743.5,-437.5,-0.42,35,14,0.01,-486.5,-0.47,-13192.5,-1.32,135
51,Entry short,2026-07-19 18:26,S,2964.1,7,103743.5,-437.5,-0.42,35,14,0.01,-486.5,-0.47,-13192.5,-1.32,135
52,Exit long,2026-07-19 22:15,flip,2969,8,119024,-304,-0.26,40,80,0.07,-380,-0.32,-13496.5,-1.35,92
52,Entry long,2026-07-19 20:42,L,2975.6,8,119024,-304,-0.26,40,80,0.07,-380,-0.32,-13496.5,-1.35,92
53,Exit short,2026-07-20 03:55,flip,2979.4,10,148450,-570,-0.38,50,90,0.06,-690,-0.46,-14066.5,-1.41,333
53,Entry short,2026-07-19 22:15,S,2969,10,148450,-570,-0.38,50,90,0.06,-690,-0.46,-14066.5,-1.41,333
54,Exit long,2026-07-20 09:19,flip,2979.5,9,134073,-40.5,-0.03,45,837,0.62,-81,-0.06,-14107,-1.41,321
54,Entry long,2026-07-20 03:55,L,2979.4,9,134073,-40.5,-0.03,45,837,0.62,-81,-0.06,-14107,-1.41,321
55,Exit short,2026-07-20 16:45,session 4:45,2955.2,11,163872.5,1281.5,0.78,55,1446.5,0.88,-748,-0.46,-12825.5,-1.28,446
55,Entry short,2026-07-20 09:19,S,2979.5,11,163872.5,1281.5,0.78,55,1446.5,0.88,-748,-0.46,-12825.5,-1.28,446
56,Exit short,2026-07-20 21:06,flip,2961.5,17,251039,-773.5,-0.31,85,76.5,0.03,-790.5,-0.31,-13599,-1.36,148
56,Entry short,2026-07-20 18:36,S,2953.4,17,251039,-773.5,-0.31,85,76.5,0.03,-790.5,-0.31,-13599,-1.36,148
57,Exit long,2026-07-21 06:32,flip,2976.6,11,162882.5,775.5,0.48,55,1111,0.68,-225.5,-0.14,-12823.5,-1.28,559
57,Entry long,2026-07-20 21:06,L,2961.5,11,162882.5,775.5,0.48,55,1111,0.68,-225.5,-0.14,-12823.5,-1.28,559
58,Exit short,2026-07-21 10:48,flip,2979.6,15,223245,-300,-0.13,75,1275,0.57,-600,-0.27,-13123.5,-1.31,255
58,Entry short,2026-07-21 06:32,S,2976.6,15,223245,-300,-0.13,75,1275,0.57,-600,-0.27,-13123.5,-1.31,255
59,Exit long,2026-07-21 16:45,session 4:45,2995.2,4,59592,292,0.49,20,394,0.66,-122,-0.20,-12831.5,-1.28,357
59,Entry long,2026-07-21 10:48,L,2979.6,4,59592,292,0.49,20,394,0.66,-122,-0.20,-12831.5,-1.28,357
60,Exit long,2026-07-21 20:46,flip,2994.5,20,299670,-320,-0.11,100,160,0.05,-350,-0.12,-13151.5,-1.32,125
60,Entry long,2026-07-21 18:32,L,2996.7,20,299670,-320,-0.11,100,160,0.05,-350,-0.12,-13151.5,-1.32,125
61,Exit short,2026-07-22 09:56,flip,2993,18,269505,45,0.02,90,1539,0.57,-225,-0.08,-13106.5,-1.31,777
61,Entry short,2026-07-21 20:46,S,2994.5,18,269505,45,0.02,90,1539,0.57,-225,-0.08,-13106.5,-1.31,777
62,Exit long,2026-07-22 11:18,flip,2975.4,4,59860,-372,-0.62,20,20,0.03,-446,-0.74,-13478.5,-1.35,82
62,Entry long,2026-07-22 09:56,L,2993,4,59860,-372,-0.62,20,20,0.03,-446,-0.74,-13478.5,-1.35,82
63,Exit short,2026-07-22 16:45,session 4:45,2972.1,6,89262,69,0.08,30,282,0.32,-261,-0.29,-13409.5,-1.34,327
63,Entry short,2026-07-22 11:18,S,2975.4,6,89262,69,0.08,30,282,0.32,-261,-0.29,-13409.5,-1.34,327
64,Exit short,2026-07-23 05:17,flip,2969.3,14,207452,-469,-0.23,70,434,0.21,-1099,-0.53,-13878.5,-1.39,603
64,Entry short,2026-07-22 19:04,S,2963.6,14,207452,-469,-0.23,70,434,0.21,-1099,-0.53,-13878.5,-1.39,603
65,Exit long,2026-07-23 08:02,flip,2957.5,11,163311.5,-704,-0.43,55,137.5,0.08,-891,-0.55,-14582.5,-1.46,164
65,Entry long,2026-07-23 05:17,L,2969.3,11,163311.5,-704,-0.43,55,137.5,0.08,-891,-0.55,-14582.5,-1.46,164
66,Exit short,2026-07-23 15:56,flip,2947.5,8,118300,360,0.30,40,1000,0.85,-164,-0.14,-14222.5,-1.42,474
66,Entry short,2026-07-23 08:02,S,2957.5,8,118300,360,0.30,40,1000,0.85,-164,-0.14,-14222.5,-1.42,474
67,Exit long,2026-07-23 16:45,session 4:45,2950,6,88425,45,0.05,30,162,0.18,-18,-0.02,-14177.5,-1.42,49
67,Entry long,2026-07-23 15:56,L,2947.5,6,88425,45,0.05,30,162,0.18,-18,-0.02,-14177.5,-1.42,49
68,Exit short,2026-07-23 20:56,flip,2949.9,11,162019,-280.5,-0.17,55,44,0.03,-341,-0.21,-14458,-1.45,47
68,Entry short,2026-07-23 20:09,S,2945.8,11,162019,-280.5,-0.17,55,44,0.03,-341,-0.21,-14458,-1.45,47
69,Exit long,2026-07-23 23:33,flip,2944.5,13,191743.5,-416,-0.22,65,221,0.12,-409.5,-0.21,-14874,-1.49,155
69,Entry long,2026-07-23 20:56,L,2949.9,13,191743.5,-416,-0.22,65,221,0.12,-409.5,-0.21,-14874,-1.49,155
70,Exit short,2026-07-24 02:34,flip,2948.3,15,220837.5,-360,-0.16,75,90,0.04,-457.5,-0.21,-15234,-1.52,175
70,Entry short,2026-07-23 23:33,S,2944.5,15,220837.5,-360,-0.16,75,90,0.04,-457.5,-0.21,-15234,-1.52,175
71,Exit long,2026-07-24 09:49,flip,2955,14,206381,399,0.19,70,1449,0.70,-287,-0.14,-14835,-1.48,432
71,Entry long,2026-07-24 02:34,L,2948.3,14,206381,399,0.19,70,1449,0.70,-287,-0.14,-14835,-1.48,432
72,Exit short,2026-07-24 11:59,flip,2964.8,4,59100,-216,-0.37,20,400,0.68,-292,-0.49,-15051,-1.51,130
72,Entry short,2026-07-24 09:49,S,2955,4,59100,-216,-0.37,20,400,0.68,-292,-0.49,-15051,-1.51,130
73,Exit long,2026-07-24 14:50,flip,2946.3,6,88944,-585,-0.66,30,126,0.14,-660,-0.74,-15636,-1.56,171
73,Entry long,2026-07-24 11:59,L,2964.8,6,88944,-585,-0.66,30,126,0.14,-660,-0.74,-15636,-1.56,171
74,Exit short,2026-07-24 16:45,session 4:45,2944,6,88389,39,0.04,30,240,0.27,-75,-0.08,-15597,-1.56,115
74,Entry short,2026-07-24 14:50,S,2946.3,6,88389,39,0.04,30,240,0.27,-75,-0.08,-15597,-1.56,115
75,Exit long,2026-07-27 07:26,flip,2977,8,118800,240,0.20,40,520,0.44,-332,-0.28,-15357,-1.54,760
75,Entry long,2026-07-26 18:32,L,2970,8,118800,240,0.20,40,520,0.44,-332,-0.28,-15357,-1.54,760
76,Exit short,2026-07-27 15:53,flip,2962.1,17,253045,1181.5,0.47,85,3017.5,1.19,-790.5,-0.31,-14175.5,-1.42,507
76,Entry short,2026-07-27 07:26,S,2977,17,253045,1181.5,0.47,85,3017.5,1.19,-790.5,-0.31,-14175.5,-1.42,507
77,Exit long,2026-07-27 16:45,session 4:45,2962.9,8,118484,-8,-0.01,40,68,0.06,-160,-0.14,-14183.5,-1.42,52
77,Entry long,2026-07-27 15:53,L,2962.1,8,118484,-8,-0.01,40,68,0.06,-160,-0.14,-14183.5,-1.42,52
