Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
49,Exit short,2026-07-17 16:45,session 4:45,28765.75,1,57528.5,-8,-0.01,5,101,0.18,-15.5,-0.03,4881,0.49,46
49,Entry short,2026-07-17 15:59,S,28764.25,1,57528.5,-8,-0.01,5,101,0.18,-15.5,-0.03,4881,0.49,46
50,Exit long,2026-07-20 01:50,flip,28813.25,2,115253,-10,-0.01,10,598,0.52,-207,-0.18,4871,0.49,379
50,Entry long,2026-07-19 19:31,L,28813.25,2,115253,-10,-0.01,10,598,0.52,-207,-0.18,4871,0.49,379
51,Exit short,2026-07-20 03:56,flip,28919.75,2,115253,-436,-0.38,10,186,0.16,-457,-0.40,4435,0.44,126
51,Entry short,2026-07-20 01:50,S,28813.25,2,115253,-436,-0.38,10,186,0.16,-457,-0.40,4435,0.44,126
52,Exit long,2026-07-20 11:05,flip,28891.75,2,115679,-122,-0.11,10,1086,0.94,-265,-0.23,4313,0.43,429
52,Entry long,2026-07-20 03:56,L,28919.75,2,115679,-122,-0.11,10,1086,0.94,-265,-0.23,4313,0.43,429
53,Exit short,2026-07-20 11:52,flip,29019.5,1,57783.5,-260.5,-0.45,5,1,0.00,-288,-0.50,4052.5,0.41,47
53,Entry short,2026-07-20 11:05,S,28891.75,1,57783.5,-260.5,-0.45,5,1,0.00,-288,-0.50,4052.5,0.41,47
54,Exit long,2026-07-20 13:31,flip,28949.75,1,58039,-144.5,-0.25,5,195.5,0.34,-220.5,-0.38,3908,0.39,99
54,Entry long,2026-07-20 11:52,L,29019.5,1,58039,-144.5,-0.25,5,195.5,0.34,-220.5,-0.38,3908,0.39,99
55,Exit short,2026-07-20 16:45,session 4:45,28772,1,57899.5,350.5,0.61,5,397,0.69,-124,-0.21,4258.5,0.43,194
55,Entry short,2026-07-20 13:31,S,28949.75,1,57899.5,350.5,0.61,5,397,0.69,-124,-0.21,4258.5,0.43,194
56,Exit short,2026-07-20 21:06,flip,28890.25,2,114863,-708,-0.62,10,58,0.05,-752,-0.65,3550.5,0.36,159
56,Entry short,2026-07-20 18:27,S,28715.75,2,114863,-708,-0.62,10,58,0.05,-752,-0.65,3550.5,0.36,159
57,Exit long,2026-07-21 10:02,flip,29131.5,2,115561,955,0.83,10,1421,1.23,-129,-0.11,4505.5,0.45,776
57,Entry long,2026-07-20 21:06,L,28890.25,2,115561,955,0.83,10,1421,1.23,-129,-0.11,4505.5,0.45,776
58,Exit short,2026-07-21 10:43,flip,29216,1,58263,-174,-0.30,5,134.5,0.23,-210.5,-0.36,4331.5,0.43,41
58,Entry short,2026-07-21 10:02,S,29131.5,1,58263,-174,-0.30,5,134.5,0.23,-210.5,-0.36,4331.5,0.43,41
59,Exit long,2026-07-21 16:43,flip,29292.5,1,58432,148,0.25,5,292.5,0.50,-71.5,-0.12,4479.5,0.45,360
59,Entry long,2026-07-21 10:43,L,29216,1,58432,148,0.25,5,292.5,0.50,-71.5,-0.12,4479.5,0.45,360
60,Exit short,2026-07-21 16:45,session 4:45,29292.25,5,292925,-22.5,-0.01,25,30,0.01,-35,-0.01,4457,0.45,2
