Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
80,Exit short,2026-07-14 16:45,session 4:45,79.92,2,16090,96,0.60,523,3.25,-105,-0.65,4594,0.46,115
80,Entry short,2026-07-14 07:10,S,80.45,2,16090,96,0.60,523,3.25,-105,-0.65,4594,0.46,115
81,Exit long,2026-07-15 06:55,flip,79.85,3,24060,-120,-0.50,214.5,0.89,-277.5,-1.15,4474,0.45,108
81,Entry long,2026-07-14 21:55,L,80.2,3,24060,-120,-0.50,214.5,0.89,-277.5,-1.15,4474,0.45,108
82,Exit short,2026-07-15 16:45,session 4:45,80.34,2,15970,-108,-0.68,329,2.06,-175,-1.10,4366,0.44,118
82,Entry short,2026-07-15 06:55,S,79.85,2,15970,-108,-0.68,329,2.06,-175,-1.10,4366,0.44,118
83,Exit long,2026-07-16 03:10,flip,79.27,3,24063,-297,-1.23,4.5,0.02,-328.5,-1.36,4069,0.41,57
83,Entry long,2026-07-15 22:25,L,80.21,3,24063,-297,-1.23,4.5,0.02,-328.5,-1.36,4069,0.41,57
84,Exit short,2026-07-16 16:45,session 4:45,79.66,3,23781,-132,-0.55,205.5,0.86,-487.5,-2.05,3937,0.39,163
84,Entry short,2026-07-16 03:10,S,79.27,3,23781,-132,-0.55,205.5,0.86,-487.5,-2.05,3937,0.39,163
85,Exit long,2026-07-17 16:45,session 4:45,81.7,5,39555,1270,3.21,1472.5,3.72,-602.5,-1.52,5207,0.52,241
85,Entry long,2026-07-16 20:40,L,79.11,5,39555,1270,3.21,1472.5,3.72,-602.5,-1.52,5207,0.52,241
