Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-05-20 01:15,flip,103.74,3,31302,-195,-0.62,28.5,0.09,-373.5,-1.19,-195,-0.02,84
1,Entry long,2026-05-19 18:15,L,104.34,3,31302,-195,-0.62,28.5,0.09,-373.5,-1.19,-195,-0.02,84
2,Exit short,2026-05-20 16:45,session 4:45,98.91,3,31122,1434,4.61,2065.5,6.64,-88.5,-0.28,1239,0.12,186
2,Entry short,2026-05-20 01:15,S,103.74,3,31122,1434,4.61,2065.5,6.64,-88.5,-0.28,1239,0.12,186
3,Exit long,2026-05-21 16:45,session 4:45,98.13,3,29766,-342,-1.15,1018.5,3.42,-1045.5,-3.51,897,0.09,183
3,Entry long,2026-05-21 01:30,L,99.22,3,29766,-342,-1.15,1018.5,3.42,-1045.5,-3.51,897,0.09,183
4,Exit short,2026-05-22 16:45,session 4:45,96.84,1,9759,70,0.72,283.5,2.90,-186.5,-1.91,967,0.10,270
4,Entry short,2026-05-21 18:15,S,97.59,1,9759,70,0.72,283.5,2.90,-186.5,-1.91,967,0.10,270
5,Exit short,2026-05-26 15:15,flip,93.93,2,18210,-586,-3.22,321,1.76,-733,-4.02,381,0.04,421
5,Entry short,2026-05-25 00:40,S,91.05,2,18210,-586,-3.22,321,1.76,-733,-4.02,381,0.04,421
6,Exit long,2026-05-26 16:40,flip,93.65,2,18786,-66,-0.35,19,0.10,-151,-0.80,315,0.03,17
6,Entry long,2026-05-26 15:15,L,93.93,2,18786,-66,-0.35,19,0.10,-151,-0.80,315,0.03,17
7,Exit short,2026-05-26 16:45,session 4:45,93.62,3,28095,-6,-0.02,16.5,0.06,-7.5,-0.03,309,0.03,1
7,Entry short,2026-05-26 16:40,S,93.65,3,28095,-6,-0.02,16.5,0.06,-7.5,-0.03,309,0.03,1
8,Exit short,2026-05-27 16:45,session 4:45,89.44,4,36776,980,2.66,1642,4.46,-126,-0.34,1289,0.13,191
8,Entry short,2026-05-27 00:50,S,91.94,4,36776,980,2.66,1642,4.46,-126,-0.34,1289,0.13,191
