Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
25,Exit short,2026-04-22 08:30,flip,90.62,2,17846,-288,-1.61,319,1.79,-443,-2.48,2977,0.30,121
25,Entry short,2026-04-21 22:25,S,89.23,2,17846,-288,-1.61,319,1.79,-443,-2.48,2977,0.30,121
26,Exit long,2026-04-22 16:45,session 4:45,92.75,1,9062,208,2.29,308.5,3.40,-18.5,-0.20,3185,0.32,99
26,Entry long,2026-04-22 08:30,L,90.62,1,9062,208,2.29,308.5,3.40,-18.5,-0.20,3185,0.32,99
27,Exit long,2026-04-23 03:40,flip,93.88,1,9358,25,0.27,167.5,1.79,-52.5,-0.56,3210,0.32,78
27,Entry long,2026-04-22 21:10,L,93.58,1,9358,25,0.27,167.5,1.79,-52.5,-0.56,3210,0.32,78
28,Exit short,2026-04-23 16:45,session 4:45,97.12,2,18776,-658,-3.50,323,1.72,-909,-4.84,2552,0.26,157
28,Entry short,2026-04-23 03:40,S,93.88,2,18776,-658,-3.50,323,1.72,-909,-4.84,2552,0.26,157
29,Exit long,2026-04-23 21:10,flip,96.73,2,19472,-136,-0.70,27,0.14,-145,-0.74,2416,0.24,5
29,Entry long,2026-04-23 20:45,L,97.36,2,19472,-136,-0.70,27,0.14,-145,-0.74,2416,0.24,5
30,Exit short,2026-04-23 21:25,flip,97.15,2,19346,-94,-0.49,11,0.06,-91,-0.47,2322,0.23,3
30,Entry short,2026-04-23 21:10,S,96.73,2,19346,-94,-0.49,11,0.06,-91,-0.47,2322,0.23,3
31,Exit long,2026-04-24 11:40,flip,93.74,2,19430,-692,-3.56,133,0.68,-713,-3.67,1630,0.16,171
31,Entry long,2026-04-23 21:25,L,97.15,2,19430,-692,-3.56,133,0.68,-713,-3.67,1630,0.16,171
32,Exit short,2026-04-24 16:45,session 4:45,95.01,1,9374,-132,-1.41,102.5,1.09,-185.5,-1.98,1498,0.15,61
