Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-05-20 01:15,flip,103.74,3,31302,-195,-0.62,15,28.5,0.09,-373.5,-1.19,-195,-0.02,84
1,Entry long,2026-05-19 18:15,L,104.34,3,31302,-195,-0.62,15,28.5,0.09,-373.5,-1.19,-195,-0.02,84
2,Exit short,2026-05-20 16:45,session 4:45,98.91,3,31122,1434,4.61,15,2065.5,6.64,-88.5,-0.28,1239,0.12,186
2,Entry short,2026-05-20 01:15,S,103.74,3,31122,1434,4.61,15,2065.5,6.64,-88.5,-0.28,1239,0.12,186
3,Exit long,2026-05-21 16:45,session 4:45,98.13,3,29766,-342,-1.15,15,1018.5,3.42,-1045.5,-3.51,897,0.09,183
3,Entry long,2026-05-21 01:30,L,99.22,3,29766,-342,-1.15,15,1018.5,3.42,-1045.5,-3.51,897,0.09,183
4,Exit short,2026-05-22 16:45,session 4:45,96.84,1,9759,70,0.72,5,283.5,2.90,-186.5,-1.91,967,0.10,270
4,Entry short,2026-05-21 18:15,S,97.59,1,9759,70,0.72,5,283.5,2.90,-186.5,-1.91,967,0.10,270
5,Exit short,2026-05-26 15:15,flip,93.93,2,18210,-586,-3.22,10,321,1.76,-733,-4.02,381,0.04,421
5,Entry short,2026-05-25 00:40,S,91.05,2,18210,-586,-3.22,10,321,1.76,-733,-4.02,381,0.04,421
6,Exit long,2026-05-26 16:40,flip,93.65,2,18786,-66,-0.35,10,19,0.10,-151,-0.80,315,0.03,17
6,Entry long,2026-05-26 15:15,L,93.93,2,18786,-66,-0.35,10,19,0.10,-151,-0.80,315,0.03,17
7,Exit short,2026-05-26 16:45,session 4:45,93.62,3,28095,-6,-0.02,15,16.5,0.06,-7.5,-0.03,309,0.03,1
7,Entry short,2026-05-26 16:40,S,93.65,3,28095,-6,-0.02,15,16.5,0.06,-7.5,-0.03,309,0.03,1
8,Exit short,2026-05-27 16:45,session 4:45,89.44,4,36776,980,2.66,20,1642,4.46,-126,-0.34,1289,0.13,191
8,Entry short,2026-05-27 00:50,S,91.94,4,36776,980,2.66,20,1642,4.46,-126,-0.34,1289,0.13,191
9,Exit long,2026-05-28 12:15,flip,89.15,2,18216,-396,-2.17,10,51,0.28,-821,-4.51,893,0.09,33
9,Entry long,2026-05-28 09:30,L,91.08,2,18216,-396,-2.17,10,51,0.28,-821,-4.51,893,0.09,33
10,Exit short,2026-05-28 16:45,session 4:45,88.75,1,8915,35,0.39,5,110.5,1.24,-51.5,-0.58,928,0.09,54
10,Entry short,2026-05-28 12:15,S,89.15,1,8915,35,0.39,5,110.5,1.24,-51.5,-0.58,928,0.09,54
11,Exit short,2026-05-29 16:45,session 4:45,87.8,2,17556,-14,-0.08,10,283,1.61,-257,-1.46,914,0.09,194
11,Entry short,2026-05-29 00:35,S,87.78,2,17556,-14,-0.08,10,283,1.61,-257,-1.46,914,0.09,194
12,Exit short,2026-06-02 16:45,session 4:45,93.44,2,18354,-344,-1.87,10,327,1.78,-451,-2.46,570,0.06,234
12,Entry short,2026-06-01 21:15,S,91.77,2,18354,-344,-1.87,10,327,1.78,-451,-2.46,570,0.06,234
13,Exit short,2026-06-03 16:45,session 4:45,96.35,2,19126,-154,-0.80,10,255,1.33,-193,-1.01,416,0.04,93
13,Entry short,2026-06-03 09:00,S,95.63,2,19126,-154,-0.80,10,255,1.33,-193,-1.01,416,0.04,93
14,Exit long,2026-06-04 14:10,flip,92.06,2,19056,-654,-3.43,10,79,0.41,-681,-3.57,-238,-0.02,127
14,Entry long,2026-06-04 03:35,L,95.28,2,19056,-654,-3.43,10,79,0.41,-681,-3.57,-238,-0.02,127
15,Exit short,2026-06-04 16:45,session 4:45,93.01,2,18412,-200,-1.09,10,19,0.10,-285,-1.55,-438,-0.04,31
15,Entry short,2026-06-04 14:10,S,92.06,2,18412,-200,-1.09,10,19,0.10,-285,-1.55,-438,-0.04,31
16,Exit short,2026-06-08 16:45,session 4:45,91.24,2,18224,-34,-0.19,10,17,0.09,-93,-0.51,-472,-0.05,23
16,Entry short,2026-06-08 14:50,S,91.12,2,18224,-34,-0.19,10,17,0.09,-93,-0.51,-472,-0.05,23
17,Exit short,2026-06-09 16:45,session 4:45,88.73,2,17832,76,0.43,10,637,3.57,-55,-0.31,-396,-0.04,92
17,Entry short,2026-06-09 09:05,S,89.16,2,17832,76,0.43,10,637,3.57,-55,-0.31,-396,-0.04,92
18,Exit short,2026-06-10 16:45,session 4:45,91.68,2,17562,-784,-4.46,10,77,0.44,-811,-4.62,-1180,-0.12,144
18,Entry short,2026-06-10 04:45,S,87.81,2,17562,-784,-4.46,10,77,0.44,-811,-4.62,-1180,-0.12,144
19,Exit short,2026-06-11 16:45,session 4:45,86.41,2,17888,596,3.33,10,739,4.13,-415,-2.32,-584,-0.06,129
19,Entry short,2026-06-11 06:00,S,89.44,2,17888,596,3.33,10,739,4.13,-415,-2.32,-584,-0.06,129
